"-M-","","0","",""
".Feast","mixed","8","group",""
"(G)I-DLE","mixed","2","group","KR"
"[ALEXANDROS]","mixed","19","group","JP"
"*NSYNC","mixed","25","group","US"
"#TocoParaVos","","0","",""
"$hirak","male","26","person","NL"
"$kyhook","male","0","person",""
"$uicideBoy$","mixed","0","group","US"
"0-600","","0","",""
"070 Shake","female","23","person","US"
"1-Flow","","0","",""
"1.Cuz","","0","",""
"100 Blaze","","0","",""
"102 Boyz","mixed","0","group","DE"
"10cm","mixed","10","group","KR"
"13 Block","","0","",""
"13ème Art","","0","","FR"
"16yrold","male","21","person",""
"18 Karat","male","0","person","DE"
"18 Kilates","","0","",""
"187 Strassenbande","mixed","11","group",""
"1979","mixed","0","group",""
"19HUNNID","","0","",""
"1Kilo","mixed","5","group",""
"1LUM3","","0","",""
"1MILL","","0","",""
"2 Chainz","male","43","person","US"
"21 Savage","male","27","person","US"
"22 Savage","mixed","12","group","NO"
"220 KID","","0","",""
"24 SJU","","0","",""
"24hrs","male","0","person","US"
"24K","mixed","8","group","KR"
"24kGoldn","male","0","person",""
"257ers","mixed","0","group","DE"
"2K","mixed","12","group","RU"
"2Pac","male","25","person","US"
"2T FLOW","male","0","person","FR"
"2zer","male","0","person",""
"3 Composers","mixed","37","group","RU"
"330am","","0","",""
"3D","male","55","person","GB"
"3LOGY","mixed","7","group",""
"3robi","male","0","person",""
"4 KEUS","","0","",""
"42 Dugg","","0","",""
"47ter","mixed","0","group","FR"
"4Keus","mixed","5","group",""
"4Keus Gang","","0","",""
"5 After Midnight","mixed","0","group","GB"
"5 Seconds of Summer","mixed","9","group","AU"
"50 Cent","male","45","person","US"
"5GANG","mixed","2","group",""
"5MIINUST","mixed","0","group","EE"
"60Miles","","0","",""
"6AM","mixed","27","group",""
"6cyclemind","mixed","19","group","PH"
"6ix9ine","male","24","person","US"
"6LACK","male","28","person","US"
"7 Minutoz","male","36","person","MX"
"71 Digits","male","0","person","CA"
"8 Kambarys","mixed","0","group","AR"
"808Bros","","0","",""
"808god","","0","",""
"831","mixed","0","group","US"
"88-Keys","male","44","person","US"
"88GLAM","","0","",""
"88rising","mixed","4","group",""
"9 Miller","male","40","person","US"
"98º","mixed","23","group","US"
"99 Percent","mixed","0","group",""
"99 Souls","mixed","0","group",""
"9lokknine","male","0","person",""
"9m88","female","0","person","TW"
"A Banca Records","mixed","7","group","BR"
"A Boogie Wit da Hoodie","male","24","person","US"
"A Day To Remember","mixed","17","group","US"
"A Great Big World","mixed","8","group","US"
"A R I Z O N A","mixed","0","group",""
"A Si","female","31","person","CN"
"A Thousand Horses","mixed","10","group","US"
"A Touch Of Class","mixed","21","group","DE"
"A Tribe Called Quest","mixed","35","group","US"
"A_GIM","female","0","person",""
"A-Deal","","0","",""
"a-ha","mixed","37","group","NO"
"A-Lin","female","36","person","TW"
"A-Mei Chang","female","47","person","TW"
"A-Trak","male","38","person","CA"
"A.CHAL","male","0","person","US"
"A.M. SNiPER","male","0","person","GB"
"A.R. Rahman","male","53","person","IN"
"A*Class","mixed","0","group",""
"A$AP ANT","male","0","person","US"
"A$AP Ferg","male","31","person","US"
"A$AP Mob","mixed","13","group","US"
"A$AP Nast","male","30","person",""
"A$AP Rocky","male","31","person","US"
"A$AP Twelvyy","male","31","person","US"
"A7S","","0","","SE"
"AAA","mixed","14","group","JP"
"Aanysa","female","0","person","US"
"Aaron Carter","male","32","person","US"
"Aaron Smith","male","0","person","US"
"Aastha Gill","female","0","person",""
"Aayush Sharma","mixed","0","group",""
"Ab-Soul","male","33","person","US"
"ABBA","mixed","47","group","SE"
"Abdi","male","0","person",""
"Abdul & The Coffee Theory","","0","","GB"
"Abel de Jong","female","82","person","NL"
"Abel Pintos","male","36","person","AR"
"Abhijeet","male","38","person","IN"
"Abhijeet Srivastava","male","38","person","IN"
"Abhijit Vaghani","","0","",""
"Abhishek Banerjee","","0","",""
"Abidaz","male","0","person",""
"Abigail Johnson","mixed","28","group",""
"Abir","male","0","person","US"
"Abira","female","0","person",""
"Abira Benotti","female","0","person",""
"Abou Debeing","male","0","person","FR"
"Above The Hood","mixed","29","group","GB"
"Abra","female","0","person",""
"Abra Cadabra","male","0","person","GB"
"Abraham Mateo","male","21","person","ES"
"ABREU","female","30","person","FI"
"AC/DC","mixed","46","group","AU"
"Academics","","0","","SE"
"Acda en de Munnik","mixed","31","group","NL"
"Ace Banzuelo","mixed","47","group","GB"
"Ace Hood","male","32","person","US"
"Ace Wilder","female","38","person","SE"
"Achee Flips","male","0","person",""
"Achey","male","46","person","US"
"Achille Lauro","male","30","person","IT"
"Acru","male","23","person","AR"
"ACTART","","0","",""
"Action Bronson","male","36","person",""
"Acyde","","0","",""
"Ada Band","mixed","24","group","ID"
"ADAAM","male","0","person",""
"Adam","male","60","person",""
"Adam K","male","0","person","CA"
"Adam Lambert","male","38","person","US"
"Adam Levine","male","41","person","US"
"Adam Mišík","male","23","person","CZ"
"Adam Trigger","male","0","person",""
"Adamlar","","0","",""
"adan la Amenazza","","0","",""
"Addikt102","male","0","person","DE"
"Adel","","0","",""
"Adel Tawil","male","41","person","DE"
"Adele","female","32","person","GB"
"Adelén","female","23","person","NO"
"Aden","mixed","25","group","US"
"Aden x Asme","mixed","0","group","SE"
"Adera","male","34","person","ID"
"Adesse","male","0","person","DE"
"ADF Samski","mixed","25","group","DE"
"ADHD","mixed","12","group","IS"
"Adhitia Sofyan","male","0","person",""
"Adi L Hasla","male","0","person","FI"
"Adi Nowak","male","0","person",""
"Adinatoor","","0","",""
"Adiós París","mixed","19","group",""
"Adira","","0","",""
"Adira Suhaimi","","0","",""
"Aditya Roy Kapoor","male","31","person","IN"
"Aditya Roy Kapur","male","31","person","IN"
"Adje","male","37","person","NL"
"ADL","male","0","person","SE"
"Admiral P","male","38","person",""
"Ado Kojo","male","36","person","DE"
"Adolfo Celdran","male","77","person","ES"
"Adolphe Adam","male","52","person","FR"
"Adolphson & Falk","mixed","52","group","SE"
"Ados","male","0","person","TR"
"Adouli","","0","",""
"Adrian Delgado","male","0","person",""
"Adrian Eagle","male","0","person",""
"Adrian Jørgensen","male","0","person",""
"Adrian Rodriguez","male","0","person","DE"
"Adrian Sellevoll","","0","",""
"Adriana Proenza","female","19","person",""
"Adriel Favela","male","27","person","US"
"Adrijana","female","22","person","SE"
"Ady Suleiman","male","0","person","GB"
"Aerosmith","mixed","50","group","US"
"Afgan","male","31","person","ID"
"Afro Bros","mixed","0","group",""
"Afrojack","male","32","person","NL"
"Afsana Khan","male","0","person","DE"
"After 6","male","0","person",""
"Afterklaps","","0","",""
"AGA","","0","",""
"Aga B","male","0","person",""
"Agam Buhbut","mixed","17","group",""
"Agapornis","mixed","10","group","AR"
"Agatha Lee Monn","female","16","person","US"
"Agebeat & Kovary","","0","",""
"Agir","male","0","person","PT"
"Agnes","female","32","person","SE"
"Agnes Nunes","female","0","person",""
"Agnete","female","0","person",""
"Agnetesh","","0","",""
"AGNEZ MO","female","34","person","ID"
"Agoney","male","24","person",""
"Agsunta","mixed","0","group","PH"
"Agus Padilla","female","18","person","UY"
"Agust D","male","27","person","KR"
"Agustín Casanova","male","26","person","UY"
"Ahmad Amin","male","0","person",""
"Ahmad Jais","mixed","21","group","RO"
"Ahrix","male","0","person","NL"
"AI","mixed","29","group","ES"
"Ai Otsuka","female","37","person","JP"
"AIELLO","male","35","person","IT"
"aiko","female","44","person","JP"
"Ailee","female","31","person","KR"
"Aiman Tino","","0","",""
"Aimer","female","30","person","JP"
"Aimyon","female","25","person","JP"
"AINÉ","","0","",""
"Air Supply","mixed","45","group","AU"
"Airbag","mixed","21","group","ES"
"Aisha Sharma","female","58","person","GB"
"Aishwarya Rai Bachchan","","0","",""
"Aisyah Aqilah Azhar","","0","",""
"Aisyah Aziz","female","26","person",""
"Aitana","female","21","person","ES"
"Aitch","male","0","person",""
"Aiyana-Lee","","0","",""
"Aizat Amdan","male","31","person","MY"
"Aj B","","0","",""
"AJ McLean","male","42","person","US"
"AJ Tracey","male","0","person","GB"
"AJ x Deno","","0","",""
"Ajay Devgan","male","51","person",""
"Ajey Nagar (CarryMinati)","male","21","person","IN"
"AJR","mixed","14","group",""
"AK Ausserkontrolle","male","0","person","DE"
"AK26","mixed","0","group","HU"
"Akapellah","","0","",""
"Akasa Singh","","0","",""
"AKDONG MUSICIAN","mixed","8","group","KR"
"Akhil","male","0","person","IN"
"Akhil Sachdeva","male","0","person",""
"AKI","","0","",""
"Aki Tykki","male","0","person","FI"
"Akim","","0","","FR"
"Akim And The Majistret","","0","","FR"
"Akon","male","47","person","SN"
"Aksan","female","0","person","TR"
"Aksel & Hef","male","33","person","NL"
"Aksel Kankaanranta","male","22","person","FI"
"Akshay Kumar","male","51","person","CA"
"Akshay Kumar & Nupur Sanon","male","51","person","CA"
"Aku Hirviniemi","male","36","person","FI"
"Akull","mixed","0","group","FR"
"Al James","","0","",""
"Ala Jaza","male","33","person","DO"
"Alabama Shakes","mixed","11","group","US"
"Alain Clark","male","41","person","NL"
"Alan Walker","male","22","person","NO"
"Alba Reche","female","22","person","ES"
"Albatraoz","mixed","0","group",""
"Albatross","mixed","0","group","IE"
"Albert Dyrlund","male","69","person","US"
"Albert Neve","male","0","person","ES"
"Alberto","male","0","person",""
"Albi","","12","",""
"Albin Johnsén","male","31","person","SE"
"Albin Lee Meldau","male","32","person",""
"Albin Myers","male","0","person","SE"
"Alborosie","male","43","person","IT"
"Albozz","","0","",""
"Alcazar","mixed","22","group","SE"
"Aldair Playboy","male","0","person",""
"Alden Richards","male","28","person","PH"
"Aldo Trujillo","male","0","person","MX"
"Aldy Maldini","","0","",""
"Ale Zurita","","0","",""
"Alec Benjamin","male","26","person","US"
"Aled Jones","male","49","person","GB"
"aLee DJ","male","0","person","FR"
"Aleesha","female","21","person",""
"Alejandro \"Mosty\" Patiño","male","0","person","CO"
"Alejandro Fernandez","male","49","person","MX"
"Alejandro Fuentes","male","32","person","NO"
"Alejandro Fuentes-Bergström","male","32","person","NO"
"Alejandro Gonzalez","male","0","person","CO"
"Alejandro Sanz","male","51","person","ES"
"Aleks","male","0","person",""
"Aleksanteri Hakaniemi","male","25","person","FI"
"Aleman","male","30","person","MX"
"Alessandra Amoroso","female","33","person","IT"
"Alessandra De Rossi","female","36","person","PH"
"Alessia Cara","female","24","person","CA"
"Alessio Bernabei","male","0","person",""
"Alessio La Profunda Melodia","male","0","person",""
"Alesso","male","29","person","SE"
"Aleteo","","0","",""
"Alex & Sierra","mixed","7","group",""
"Alex Adair","male","0","person","GB"
"Alex Aiono","male","0","person",""
"Alex Aris","male","31","person","SE"
"Alex Ceesay","male","0","person",""
"Alex Clare","male","33","person","GB"
"Alex Fong","male","40","person","CN"
"Alex Gargola","mixed","25","group",""
"Alex Hosking","female","51","person","US"
"Alex Martini","","0","",""
"Alex Mattson","","0","",""
"Alex Newell","male","27","person","US"
"Alex Porat","","0","",""
"Alex Rose","","0","",""
"Alex Ross","male","0","person","GB"
"Alex Rouse","mixed","0","group",""
"Alex Sensation","male","41","person","US"
"Alex Ubago","male","39","person","ES"
"Alex Vargas","male","32","person",""
"Alexa Davies","female","24","person","GB"
"Alexander 23","male","25","person",""
"Alexander Brown","male","0","person","DK"
"Alexander Jarl","male","0","person","IS"
"Alexander Oscar","male","21","person","DK"
"Alexander Rybak","male","34","person","NO"
"Alexander Tidebrink","male","0","person",""
"Alexandra","female","27","person","DE"
"Alexandra Babitzin","female","39","person","FI"
"Alexandra Joner","female","30","person","NO"
"Alexandra Stan","female","31","person","RO"
"Alexio","male","0","person","PR"
"Alexis y Fido","mixed","18","group","PR"
"Aleyna Tilki","female","20","person","TR"
"Alfa","female","0","person","US"
"Alfons","male","0","person","SE"
"Alfred García","male","23","person","ES"
"Alfred Hui","male","32","person","HK"
"Alfredo Olivas","male","0","person","MX"
"Ali As","male","41","person","DE"
"Ali B","male","38","person","NL"
"Ali Bumaye","","0","",""
"Ali Gatie","male","23","person","CA"
"Ali471","","0","",""
"Alia Bhatt","female","27","person",""
"Alice Merton","female","26","person","CA"
"Alice Tegner","female","79","person","SE"
"Alicia Keys","female","39","person","US"
"Alicia Moffet","female","0","person",""
"Alicya","","0","",""
"Alida","","0","",""
"Alif","mixed","0","group",""
"Alif Satar","male","29","person","MY"
"Alika","female","43","person","AR"
"Alina Baraz","female","26","person","US"
"ALISA UENO","female","0","person",""
"Alison Wonderland","female","33","person","AU"
"Alisson Shore","","0","",""
"Alivor","","0","",""
"Aliyah","","0","",""
"Alizée","female","35","person","FR"
"Alizzz","male","0","person","ES"
"Alka Yagnik","female","54","person","IN"
"Alkaline","male","26","person","JM"
"Alkilados","mixed","10","group","CO"
"Alkilados feat. Nicky Jam, J. Alvarez, El Roockie","male","42","person","PA"
"Alkpote","male","39","person","FR"
"Allame","male","31","person","TR"
"Allan Kingdom","male","26","person",""
"ALLBLACK","","0","",""
"Allday","male","29","person",""
"Alle Farben","male","35","person","DE"
"Alli Neumann","","0","",""
"Alligatoah","male","30","person","DE"
"Allj","male","26","person","RU"
"ALLMO$T","mixed","4","group","PH"
"ALLY","","0","",""
"Ally Brooke","female","27","person","US"
"Allyawan","male","32","person","SE"
"ALMA","female","24","person","FI"
"Almighty","mixed","32","group","GB"
"Almklausi","male","0","person","DE"
"Almy","","0","",""
"Aloe Blacc","male","41","person","US"
"Alok","male","28","person","BR"
"Alonzo","male","38","person","FR"
"Alpa Gun","male","40","person",""
"Alper Ayyıldız","male","0","person","DE"
"Alpha Wann","male","0","person","FR"
"Alphabeat","mixed","16","group","DK"
"Alrima","","0","",""
"alt-J","mixed","13","group",""
"Alta Consigna","mixed","0","group","MX"
"Altamash Faridi","male","0","person",""
"Altimet","male","41","person","MY"
"AlunaGeorge","mixed","11","group","GB"
"Alvaro","male","33","person","NL"
"Alvaro Estrella","male","39","person","SE"
"Alvaro Soler","male","29","person","ES"
"Alx Veliz","male","0","person",""
"Alyssa Reid","female","27","person",""
"Alz X 38","mixed","0","group",""
"Alzate","male","39","person","CO"
"AM La Scampia","","0","",""
"Amaal Mallik","male","0","person","IN"
"Amaia","","0","",""
"Amaia Montero","female","43","person","ES"
"AMAL","male","0","person","ES"
"Aman Aziz","mixed","0","group",""
"Aman Hayer","male","0","person","GB"
"Amanda","mixed","0","group","SE"
"Amanda Bergman","female","32","person","SE"
"Amanda Delara","female","23","person",""
"Amanda Jenssen","female","31","person","SE"
"Amanda Serra","male","60","person","FR"
"Amanda Seyfried","female","34","person","US"
"Amar Azul","mixed","0","group",""
"Amara Abonta","","0","",""
"Amber Van Day","","0","",""
"Amber-Simone","female","23","person",""
"Ambjaay","male","0","person",""
"Amedeo Preziosi","","0","",""
"AMEE","male","34","person","ID"
"Amelia Monét","female","0","person",""
"Amenazzy","male","24","person","DO"
"American Authors","mixed","9","group","US"
"Américo","male","42","person","CL"
"Amigdala","","0","",""
"Amina","female","58","person","FR"
"Aminé","male","38","person","MA"
"Amir","male","36","person",""
"Amir Benayoun","male","44","person","IL"
"Amir Dadon","male","44","person","IL"
