song_name,singer_name,song_language
イマジネーション,SPYAIR,ja
Nothing,KISS OF LIFE,en
勘冴えて悔しいわ,ZUTOMAYO,ja
像天堂的懸崖,Jess Lee,zh
Te Quiero,KISS OF LIFE,en
愚者,理想混蛋,None
Whistle,Dreamcatcher,ko
Our dawn is hotter than day,SEVENTEEN,ko
Starry Night,MAMAMOO,ko
Gravity,FIFTY FIFTY,ko
"How can I love the heartbreak, you're the one I love",AKMU,ko
U R,TAEYEON,ko
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),"Taylor Swift, Joy Williams, John Paul White",en
炙愛 - 女聲版,Vicky Chen,zh
Timeless (Taylor’s Version) (From The Vault),Taylor Swift,en
Starry Night - ENG Version,FIFTY FIFTY,en
My My,SEVENTEEN,ko
人質,A-Mei Chang,None
BONVOYAGE,Dreamcatcher,ko
CLAP,SEVENTEEN,ko
