song_name,singer_name,song_language,track_id
イマジネーション,SPYAIR,ja,66Aox16AXYiqZum37rTDRG
Starry Night - ENG Version,FIFTY FIFTY,en,4oAoatbLqEMJcRfu7TZaKA
Nothing,KISS OF LIFE,en,3ym9bzwGG4uxVaJ0pLoQbM
像天堂的懸崖,Jess Lee,zh,4HGNNgQVjyyKk4sPgmbpIM
Our dawn is hotter than day,SEVENTEEN,ko,2EGRE8lyfRRGuq7spra3eR
勘冴えて悔しいわ,ZUTOMAYO,ja,7zbfS30vKiHU8oBs6Wi1Qp
Te Quiero,KISS OF LIFE,en,5yilfTuo2JyDZUoBPQ4Vjs
愚者,理想混蛋,None,4Yu9H6RhTpqdLFQ0ytr8nV
Rough,GFRIEND,ko,75vepksethG7GrRn815ZYH
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),"Taylor Swift, Joy Williams, John Paul White",en,2RJnNdu4pb3MypbBroHU0T
Whistle,Dreamcatcher,ko,2PZ9HsMIaBo9Prrtg3TnL5
"How can I love the heartbreak, you're the one I love",AKMU,ko,0hqj5JBnFt1BHEz2UCFwrl
toxic till the end,ROSÉ,en,1z5ebC9238uGoBgzYyvGpQ
U R,TAEYEON,ko,2DlBwbXR5mA8qhTuTMh6eZ
错的人 - Live,"姚晓棠, 家家",None,6hx5tPJmGhbB4t45vtaeWP
Gravity,FIFTY FIFTY,ko,0WB00P7RnB46lQVjIDhYiV
Starry Night,MAMAMOO,ko,3qUJ0kC9YdBO5qRFdYXeXX
人質,A-Mei Chang,None,6OAUhxFZzaRHHC8XiuIkvb
Crazy Over You,BLACKPINK,en,7bi5vk9KoY6Flkat31ViYD
My My,SEVENTEEN,ko,4rnvC8St4YDHGuQdBEByRz
